target_project,time_steps,method,cp_id,spearman_cor,js_div,defect_ratio,median_feature,maximum_feature,std_feature,n_commit
ansible,5000,odasc_aio,0,nan,nan,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
ansible,5000,odasc_aio,1,-0.155769,-0.347551,-0.297030,-0.189227,-0.322680,-0.290459,-0.047076
ansible,5000,odasc_aio,2,-0.054300,-0.315174,-0.024752,-0.290019,-0.255343,-0.477554,-0.017778
ansible,5000,odasc_aio,3,-0.326328,-0.337105,-0.198020,-0.420391,-0.453884,-0.445764,-0.284589
ansible,5000,odasc_aio,4,nan,nan,nan,-0.000000,-0.000000,-0.000000,-0.142195
ansible,5000,odasc_aio,5,-0.167268,-0.341103,-0.797030,-0.401726,-0.387275,-0.459838,-0.298441
ansible,5000,odasc_aio,6,-0.195856,-0.336544,-0.138614,-0.282036,-0.222020,-0.319023,-0.036864
ansible,5000,odasc_aio,7,-0.414613,-0.332166,-0.049505,-0.164704,-0.396065,-0.402984,-0.003243
ansible,5000,odasc_aio,8,nan,nan,nan,-0.000000,-0.000000,-0.000000,-0.142195
ansible,5000,odasc_aio,9,nan,nan,nan,-0.000000,-0.000000,-0.000000,-0.142195
ansible,5000,odasc_aio,10,-0.156286,-0.373278,-0.024752,-0.422034,-0.431341,-0.457865,-0.338406
ansible,5000,odasc_aio,11,-0.262490,-0.309744,-0.455446,-0.380076,-0.258261,-0.410999,-0.084253
ansible,5000,odasc_aio,12,-0.227647,-0.330271,-0.792079,-0.296378,-0.318137,-0.324950,-0.092331
ansible,5000,odasc_aio,13,-0.319789,-0.340069,-0.480198,-0.344114,-0.325904,-0.326897,-0.235351
ansible,5000,odasc_aio,14,-0.566361,-0.340018,-0.064356,-0.282806,-0.318917,-0.400133,-0.022585
ansible,5000,odasc_aio,15,-0.309828,-0.353414,-0.623762,-0.454330,-0.232330,-0.384813,-0.032854
ansible,5000,odasc_aio,16,-0.323481,-0.341459,-0.012094,-0.207778,-0.351836,-0.478062,-0.133349
ansible,5000,odasc_aio,17,-0.119513,-0.371642,-0.242574,-0.205122,-0.363452,-0.379214,-0.857805
ansible,5000,odasc_aio,18,-0.233776,-0.321290,-0.202970,-0.234429,-0.337034,-0.344025,-0.405564
ansible,5000,odasc_aio,19,nan,nan,nan,-0.000000,-0.000000,-0.000000,-0.142195
ansible,5000,odasc_aio,20,-0.260990,-0.338565,-0.381188,-0.307023,-0.452996,-0.433538,-0.178433
ansible,5000,odasc_aio,21,nan,nan,nan,-0.000000,-0.000000,-0.000000,-0.142195
ansible,5000,odasc_aio,22,nan,nan,nan,-0.000000,-0.000000,-0.000000,-0.142195
brackets,5000,odasc_aio,0,-0.174029,-0.340976,-0.417973,-0.086407,-0.244553,-0.378831,-0.045158
brackets,5000,odasc_aio,1,nan,nan,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
