,0,1,2,3,4,5,6,7,8,9
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.07142857142857151,-0.031598090475107976,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
2,-0.28571428571428575,-0.012957490338713344,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
3,-0.3571428571428572,-0.2582405092066379,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0
4,-0.1428571428571428,-0.11275289838599682,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
5,-0.5,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0
6,-0.1428571428571429,-0.01818595135258013,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
7,-0.07142857142857151,-0.0006819731757217555,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0
8,-0.1428571428571428,-0.004773812230052283,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0
9,-0.3571428571428571,-0.0036371902705160265,-1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-1.0
10,-0.6428571428571429,-0.014321436690156853,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0
11,-0.07142857142857151,-0.08428322454237434,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,-0.21428571428571436,-0.0559218004091839,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
13,-0.1428571428571429,-0.08428322454237434,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,-0.21428571428571436,-0.012275517162991589,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
15,-0.21428571428571436,-0.006137758581495794,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0
16,-0.0,-0.0027278927028870185,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
17,-0.5714285714285715,-0.0015912707433507617,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
18,-0.1428571428571429,-0.025687656285519438,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0
19,-0.2142857142857142,-0.04273698567856331,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0
20,-0.4285714285714286,-0.2582405092066379,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0
21,-0.2142857142857142,-0.9856785633098432,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
22,-0.1428571428571428,-0.02909752216412821,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0
23,-0.07142857142857151,-0.031598090475107976,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0
24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
25,-0.21428571428571425,-0.04455558081382132,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
26,-0.2857142857142857,-0.2266424187315299,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
27,-0.2142857142857143,-0.08115480791088885,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,-0.42857142857142855,-0.031598090475107976,-0.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0
29,-0.0714285714285714,-0.013412139122527846,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,-0.0,-0.030916117299386224,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
31,-0.2142857142857143,-0.026824278245055694,-0.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0
32,-0.4285714285714286,-0.035235280745624,-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0
33,-0.5714285714285714,-0.04591952716526483,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
34,-0.0,-0.05268513406726637,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0
35,-0.14285714285714285,-0.024323709934075927,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
36,-0.0714285714285714,-0.05268513406726637,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0
37,-0.14285714285714285,-0.04387360763809957,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
38,-0.14285714285714285,-0.03773584905660377,-0.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0
39,-0.07142857142857151,-0.034325983177995,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
