project,ansible,brackets,broadleaf,camel,corefx,django,elasticsearch,fabric,googleflutter,homebrew,jgroups,neutron,node,nova,npm,panda,pytorch,rails,rust,tensorflow,tomcat,vscode,wp-calypso
start_time,2012-02-06 02:05:09,2011-12-08 05:20:16,2008-12-20 03:47:20,2007-03-19 18:54:57,2014-11-07 00:43:22,2005-07-13 09:25:57,2010-02-08 21:22:27,2011-04-14 03:50:46,2014-10-24 02:15:41,2017-09-23 22:23:15,2003-09-09 09:24:04,2011-01-01 08:08:43,2009-02-16 08:02:00,2010-05-28 14:05:26,2009-09-30 01:21:33,2009-08-05 11:30:16,2012-01-25 21:55:20,2004-11-24 09:04:44,2010-06-17 05:30:45,2015-11-07 08:27:58,2006-03-27 21:53:46,2015-11-13 21:39:38,2014-01-28 22:17:22
end_time,2020-07-26 06:44:43,2017-12-08 00:32:11,2017-12-22 02:39:59,2017-12-07 21:59:48,2019-11-01 03:43:54,2019-09-28 00:41:49,2020-07-27 20:27:30,2017-12-06 16:23:18,2020-07-27 23:46:57,2019-09-25 22:07:10,2017-12-05 23:12:42,2017-12-24 11:28:15,2020-07-25 07:27:21,2018-01-23 03:57:53,2017-11-28 11:46:13,2020-07-24 21:06:26,2020-07-27 04:52:19,2019-09-27 07:37:42,2019-10-27 05:02:23,2020-01-01 01:45:15,2017-12-07 03:28:28,2019-10-26 23:53:44,2020-07-24 21:51:47
defect_ratio_para,0.1588,0.4222,0.2626,0.415,0.0774,0.4516,0.426,0.2248,0.0108,0.0324,0.2288,0.5034,0.4188,0.4656,0.2244,0.6464,0.4376,0.449,0.0696,0.3228,0.3652,0.0374,0.1976
defect_ratio_end,0.35488532979529946,0.3387644854927246,0.20541798238324746,0.2080040187541862,0.06910770875491581,0.4215571662380173,0.35145832872653293,0.20737664875427456,0.01275335914370303,0.0174977497749775,0.17523820137070262,0.397268479693303,0.33224878934624696,0.4351608954179783,0.17881760339342523,0.5121373282080985,0.4012134583563155,0.2537422612357045,0.020323656795036872,0.24877212130661885,0.27932539468721373,0.022678248702850814,0.2752061059807149
